country,city,address_store,phone_store,firstname_customer,lastname_customer,email_customer,firstname_staff,lastname_staff,email_staff,title,description,language,category,firstname_actor,lastname_actor
Colombia,Sincelejo,"1740 Portoviejo Avenue",198123170793,WANDA,PATTERSON,WANDA.PATTERSON@sakilacustomer.org,Mike,Hillyer,Mike.Hillyer@sakilastaff.com,"AUTUMN CROW","A Beautiful Tale of a Dentist And a Mad Cow who must Battle a Moose in The Sahara Desert",English,Games,JAMES,PITT
Colombia,Sincelejo,"1740 Portoviejo Avenue",198123170793,WANDA,PATTERSON,WANDA.PATTERSON@sakilacustomer.org,Mike,Hillyer,Mike.Hillyer@sakilastaff.com,"AUTUMN CROW","A Beautiful Tale of a Dentist And a Mad Cow who must Battle a Moose in The Sahara Desert",English,Games,ANGELA,HUDSON
Colombia,Sincelejo,"1740 Portoviejo Avenue",198123170793,WANDA,PATTERSON,WANDA.PATTERSON@sakilacustomer.org,Mike,Hillyer,Mike.Hillyer@sakilastaff.com,"AUTUMN CROW","A Beautiful Tale of a Dentist And a Mad Cow who must Battle a Moose in The Sahara Desert",English,Games,DUSTIN,TAUTOU
Colombia,Sogamoso,"656 Matamoros Drive",17305839123,SAM,MCDUFFIE,SAM.MCDUFFIE@sakilacustomer.org,Mike,Hillyer,Mike.Hillyer@sakilastaff.com,"ATLANTIS CAUSE","A Thrilling Yarn of a Feminist And a Hunter who must Fight a Technical Writer in A Shark Tank",English,Family,CUBA,BIRCH
Colombia,Sogamoso,"656 Matamoros Drive",17305839123,SAM,MCDUFFIE,SAM.MCDUFFIE@sakilacustomer.org,Mike,Hillyer,Mike.Hillyer@sakilastaff.com,"ATLANTIS CAUSE","A Thrilling Yarn of a Feminist And a Hunter who must Fight a Technical Writer in A Shark Tank",English,Family,HARVEY,HOPE
Colombia,Sogamoso,"656 Matamoros Drive",17305839123,SAM,MCDUFFIE,SAM.MCDUFFIE@sakilacustomer.org,Mike,Hillyer,Mike.Hillyer@sakilastaff.com,"ATLANTIS CAUSE","A Thrilling Yarn of a Feminist And a Hunter who must Fight a Technical Writer in A Shark Tank",English,Family,CHRIS,DEPP
Colombia,Sogamoso,"656 Matamoros Drive",17305839123,SAM,MCDUFFIE,SAM.MCDUFFIE@sakilacustomer.org,Mike,Hillyer,Mike.Hillyer@sakilastaff.com,"ATLANTIS CAUSE","A Thrilling Yarn of a Feminist And a Hunter who must Fight a Technical Writer in A Shark Tank",English,Family,CATE,HARRIS
Colombia,Sogamoso,"656 Matamoros Drive",17305839123,SAM,MCDUFFIE,SAM.MCDUFFIE@sakilacustomer.org,Mike,Hillyer,Mike.Hillyer@sakilastaff.com,"ATLANTIS CAUSE","A Thrilling Yarn of a Feminist And a Hunter who must Fight a Technical Writer in A Shark Tank",English,Family,GRETA,KEITEL
Colombia,Sogamoso,"656 Matamoros Drive",17305839123,SAM,MCDUFFIE,SAM.MCDUFFIE@sakilacustomer.org,Mike,Hillyer,Mike.Hillyer@sakilastaff.com,"ATLANTIS CAUSE","A Thrilling Yarn of a Feminist And a Hunter who must Fight a Technical Writer in A Shark Tank",English,Family,FRANCES,TOMEI
Colombia,Sogamoso,"656 Matamoros Drive",17305839123,SAM,MCDUFFIE,SAM.MCDUFFIE@sakilacustomer.org,Mike,Hillyer,Mike.Hillyer@sakilastaff.com,"ATLANTIS CAUSE","A Thrilling Yarn of a Feminist And a Hunter who must Fight a Technical Writer in A Shark Tank",English,Family,JULIANNE,DENCH
